07424KRFTT1225M,76131,FREON 113,6380
07424LMLBR47SIN,1310732,SODIUM HYDROXIDE (SOLUTION),0
07512NGRRC650UN,67641,ACETONE,250
07424KRFTT1150M,1717006,11-DICHLORO-1-FLUOROETHANE,5870
07512CLRKW690UN,67641,ACETONE,13200
07512THPFL700UN,7647010,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",0
07511DRGCNGORDO,75070,ACETALDEHYDE,0
07470CNTNN20CON,N230,CERTAIN GLYCOL ETHERS,104045
07470CNTNN20CON,71363,N-BUTYL ALCOHOL,92173
07470CNTNN20CON,78933,METHYL ETHYL KETONE,12186
07470CNTNN20CON,7439965,MANGANESE,0
07470CNTNN20CON,7664393,HYDROGEN FLUORIDE,0
07470CNTNN20CON,7664939,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0
07424SCHMDRTE46,1310732,SODIUM HYDROXIDE (SOLUTION),0
07424SCHMDRTE46,7664417,AMMONIA,30950
07512FRRLM11JAC,7440473,CHROMIUM,0
07470RXNTC70OLD,76131,FREON 113,9000
07470RXNTC70OLD,71556,111-TRICHLOROETHANE,10800
07512HNCHM90MAL,79107,ACRYLIC ACID,0
07512HNCHM90MAL,108054,VINYL ACETATE,0
07512HNCHM90MAL,108883,TOLUENE,413
07512HNCHM90MAL,96333,METHYL ACRYLATE,0
07512HNCHM90MAL,141322,BUTYL ACRYLATE,166
07470NSCTT26HAN,79016,TRICHLOROETHYLENE,0
07512HFFMN970RI,7647010,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",0
07512LCTRN25MAD,71556,111-TRICHLOROETHANE,2000
07512RRBRT990RI,N230,CERTAIN GLYCOL ETHERS,11
07470NRTNC150DE,7664417,AMMONIA,5
07470NRTNC150DE,N511,NITRATE COMPOUNDS,0
07470NRTNC150DE,7697372,NITRIC ACID,6
