07022STCST101BR,108883,TOLUENE,61
07657NNNKC453BR,108883,TOLUENE,755
07657STNDR461BR,71363,N-BUTYL ALCOHOL,255
07657STNDR461BR,78933,METHYL ETHYL KETONE,1000
07657STNDR461BR,108101,METHYL ISOBUTYL KETONE,255
07657STNDR461BR,108883,TOLUENE,755
07657STNDR461BR,1330207,XYLENE (MIXED ISOMERS),1105
07047MRCRP9500R,67561,METHANOL,289851
07657RDGPR525OR,67641,ACETONE,1000
07657RDGPR525OR,108101,METHYL ISOBUTYL KETONE,20000
07657RDGPR525OR,78933,METHYL ETHYL KETONE,20000
07657SCHLL400VI,7664939,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0
07657VRSLM475BR,108101,METHYL ISOBUTYL KETONE,750
07657CSTMM730GR,71556,111-TRICHLOROETHANE,250
07657CSTMM730GR,127184,TETRACHLOROETHYLENE,250
07657PFSTRLINDE,64675,DIETHYL SULFATE,0
07657PFSTRLINDE,100447,BENZYL CHLORIDE,0
07657PFSTRLINDE,98828,CUMENE,0
07657PFSTRLINDE,100425,STYRENE,0
07657PFSTRLINDE,7632000,SODIUM NITRITE,0
07657PFSTRLINDE,7697372,NITRIC ACID,0
07657PFSTRLINDE,N511,NITRATE COMPOUNDS,0
07657PFSTRLINDE,67561,METHANOL,2302
07657PFSTRLINDE,108316,MALEIC ANHYDRIDE,0
07657PFSTRLINDE,123319,HYDROQUINONE,0
07657PFSTRLINDE,7647010,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",0
07650TLDYN400CO,71556,111-TRICHLOROETHANE,9900
