08817QLTYW8SUTT,78933,METHYL ETHYL KETONE,7428
08818DRNTZ1000N,71556,111-TRICHLOROETHANE,3970
08818MTXCR970NE,7440020,NICKEL,0
08818MTXCR970NE,7440473,CHROMIUM,0
08818MTXCR970NE,7440508,COPPER,0
08818SMKDR200CA,75092,DICHLOROMETHANE,750
07080TNGLY200SO,1163195,DECABROMODIPHENYL OXIDE,0
07080TNGLY200SO,N982,ZINC COMPOUNDS,0
08817PDBSN54KEL,N420,LEAD COMPOUNDS,0
08817PDBSN54KEL,N090,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),0
08818MRCNM8TAYL,7440508,COPPER,10
08818MRCNM8TAYL,N420,LEAD COMPOUNDS,10
08817HBFLL29MAC,N090,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),0
08818MRCHL136TA,67561,METHANOL,4062
08854LPNRM51ETH,84662,DIETHYL PHTHALATE,0
08817MRCNN135NA,71363,N-BUTYL ALCOHOL,5500
08817MRCNN135NA,N230,CERTAIN GLYCOL ETHERS,14300
08818NWBRN44TAL,7440473,CHROMIUM,27
08818RVLNN55TAL,67641,ACETONE,2822
08818MBLCHRT27A,75650,TERT-BUTYL ALCOHOL,224
08818MBLCHRT27A,91203,NAPHTHALENE,2111
08818WCHMC2170H,7440508,COPPER,0
08818WCHMC2170H,75456,CHLORODIFLUOROMETHANE,22
08818WCHMC2170H,115071,PROPYLENE,0
08817CDMYD47LAN,7697372,NITRIC ACID,0
08818BSFCR2195R,100425,STYRENE,255
08818LPHGZ977NE,1310732,SODIUM HYDROXIDE (SOLUTION),0
