07033BLTNG20BOR,108883,TOLUENE,17300
07033CRWNM38BOR,71556,111-TRICHLOROETHANE,10312
07033CRWNM38BOR,1330207,XYLENE (MIXED ISOMERS),15440
07033CRWNM38BOR,78933,METHYL ETHYL KETONE,10100
07033WHTTL40BOR,7723140,PHOSPHORUS (YELLOW OR WHITE),0
07033WHTTL40BOR,7439965,MANGANESE,250
07083HYTTR800JE,7439965,MANGANESE,0
07083HYTTR800JE,7440473,CHROMIUM,0
07083HYTTR800JE,7440508,COPPER,0
07083NTRNT2530P,7439965,MANGANESE,0
07083NTRNT2530P,7440508,COPPER,0
07083NTRNT2530P,7782492,SELENIUM,0
07083NTRNT2530P,67561,METHANOL,500
07083NTRNT2530P,7440473,CHROMIUM,0
07033BLBLD123N8,N420,LEAD COMPOUNDS,1200
07033LLRCH2MARK,7440508,COPPER,2550
07083NDSTRRT22R,7440508,COPPER,0
07083TLDYN1110S,7664417,AMMONIA,5
07083TLDYN1110S,7440020,NICKEL,0
07083TLDYN1110S,79016,TRICHLOROETHYLENE,31528
07083TLDYN1110S,7440473,CHROMIUM,0
07083TLDYN1110S,7439965,MANGANESE,0
07083MCCNF1000B,7440360,ANTIMONY,15
07083MCCNF1000B,7439921,LEAD,255
07083MCCNF1000B,7440508,COPPER,10
07083MRCNP610RA,7439921,LEAD,0
